text,label
"Очень удобная кровать и свежие полотенца. Хозяин был очень вежлив и гостеприимен. Есть всё необходимое для комфортного проживания. Обязательно приедем ещё раз. Отличное расположение, рядом с центром. Спасибо, Филарет!",positive
"Соседи шумели всю ночь. Кровать скрипит и неудобная. Спасибо, Никанор!",negative
"Квартира была чистая и уютная. Цена полностью оправдана. Обязательно приедем ещё раз. Очень удобная кровать и свежие полотенца. Отличное расположение, рядом с центром. Спасибо, Артем!",positive
"Фото не соответствуют реальности. Wi-Fi почти не работал. Спасибо, Афиноген!",negative
"Хозяин был очень вежлив и гостеприимен. Квартира была чистая и уютная. Очень удобная кровать и свежие полотенца. Обязательно приедем ещё раз. Спасибо, Болеслав!",positive
"Wi-Fi работал стабильно и быстро. Есть всё необходимое для комфортного проживания. Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Тихий район, хорошо выспались. Спасибо, Милован!",positive
"Просторная кухня, приятно готовить. Отличное расположение, рядом с центром. Спасибо, Аполлинарий!",positive
"Wi-Fi работал стабильно и быстро. Отличное расположение, рядом с центром. Цена полностью оправдана. Обязательно приедем ещё раз. Просторная кухня, приятно готовить. Спасибо, Викентий!",positive
"Хозяин не отвечал на звонки. Фото не соответствуют реальности. Местоположение оставляет желать лучшего. Очень грязно, не убрано перед заселением. Wi-Fi почти не работал. Спасибо, Платон!",negative
"Цена полностью оправдана. Хозяин был очень вежлив и гостеприимен. Квартира была чистая и уютная. Wi-Fi работал стабильно и быстро. Отличное расположение, рядом с центром. Спасибо, Прасковья!",positive
"Соседи шумели всю ночь. Плохая звукоизоляция, всё слышно. Неверно указана цена в объявлении. Спасибо, Тихон!",negative
"Квартира была чистая и уютная. Хозяин был очень вежлив и гостеприимен. Очень удобная кровать и свежие полотенца. Спасибо, Прохор!",positive
"Хозяин был очень вежлив и гостеприимен. Очень удобная кровать и свежие полотенца. Спасибо, Ульяна!",positive
"Сломанный душ и неприятный запах. Неверно указана цена в объявлении. Хозяин не отвечал на звонки. Местоположение оставляет желать лучшего. Фото не соответствуют реальности. Спасибо, Ярополк!",negative
"Очень удобная кровать и свежие полотенца. Wi-Fi работал стабильно и быстро. Квартира была чистая и уютная. Есть всё необходимое для комфортного проживания. Отличное расположение, рядом с центром. Спасибо, Софрон!",positive
"Wi-Fi почти не работал. Плохая звукоизоляция, всё слышно. Местоположение оставляет желать лучшего. Фото не соответствуют реальности. Спасибо, Пантелеймон!",negative
"Есть всё необходимое для комфортного проживания. Квартира была чистая и уютная. Хозяин был очень вежлив и гостеприимен. Очень удобная кровать и свежие полотенца. Обязательно приедем ещё раз. Спасибо, Максим!",positive
"Кровать скрипит и неудобная. Местоположение оставляет желать лучшего. Плохая звукоизоляция, всё слышно. Wi-Fi почти не работал. Сломанный душ и неприятный запах. Спасибо, Станислав!",negative
"Фото не соответствуют реальности. Соседи шумели всю ночь. Очень грязно, не убрано перед заселением. Неверно указана цена в объявлении. Спасибо, Максим!",negative
"Фото не соответствуют реальности. Очень грязно, не убрано перед заселением. Соседи шумели всю ночь. Wi-Fi почти не работал. Хозяин не отвечал на звонки. Спасибо, Никифор!",negative
"Тихий район, хорошо выспались. Отличное расположение, рядом с центром. Wi-Fi работал стабильно и быстро. Обязательно приедем ещё раз. Спасибо, Регина!",positive
"Фото не соответствуют реальности. Неверно указана цена в объявлении. Кровать скрипит и неудобная. Спасибо, Симон!",negative
"Соседи шумели всю ночь. Кровать скрипит и неудобная. Местоположение оставляет желать лучшего. Плохая звукоизоляция, всё слышно. Фото не соответствуют реальности. Спасибо, Максимильян!",negative
"Соседи шумели всю ночь. Кровать скрипит и неудобная. Wi-Fi почти не работал. Сломанный душ и неприятный запах. Спасибо, Игорь!",negative
"Хозяин был очень вежлив и гостеприимен. Отличное расположение, рядом с центром. Очень удобная кровать и свежие полотенца. Тихий район, хорошо выспались. Спасибо, Федот!",positive
"Очень удобная кровать и свежие полотенца. Цена полностью оправдана. Есть всё необходимое для комфортного проживания. Квартира была чистая и уютная. Отличное расположение, рядом с центром. Спасибо, Валентина!",positive
"Хозяин не отвечал на звонки. Очень грязно, не убрано перед заселением. Спасибо, Панкрат!",negative
"Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Соседи шумели всю ночь. Спасибо, Платон!",negative
"Кровать скрипит и неудобная. Хозяин не отвечал на звонки. Спасибо, Юлий!",negative
"Есть всё необходимое для комфортного проживания. Просторная кухня, приятно готовить. Wi-Fi работал стабильно и быстро. Отличное расположение, рядом с центром. Цена полностью оправдана. Спасибо, Яков!",positive
"Wi-Fi почти не работал. Неверно указана цена в объявлении. Соседи шумели всю ночь. Фото не соответствуют реальности. Хозяин не отвечал на звонки. Спасибо, Елена!",negative
"Просторная кухня, приятно готовить. Очень удобная кровать и свежие полотенца. Тихий район, хорошо выспались. Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Спасибо, Лазарь!",positive
"Соседи шумели всю ночь. Сломанный душ и неприятный запах. Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Кровать скрипит и неудобная. Спасибо, Будимир!",negative
"Цена полностью оправдана. Есть всё необходимое для комфортного проживания. Обязательно приедем ещё раз. Спасибо, Валентина!",positive
"Wi-Fi почти не работал. Плохая звукоизоляция, всё слышно. Сломанный душ и неприятный запах. Спасибо, Аристарх!",negative
"Неверно указана цена в объявлении. Фото не соответствуют реальности. Спасибо, Лариса!",negative
"Обязательно приедем ещё раз. Очень удобная кровать и свежие полотенца. Хозяин был очень вежлив и гостеприимен. Цена полностью оправдана. Спасибо, Феврония!",positive
"Есть всё необходимое для комфортного проживания. Хозяин был очень вежлив и гостеприимен. Просторная кухня, приятно готовить. Спасибо, Станислав!",positive
"Очень грязно, не убрано перед заселением. Плохая звукоизоляция, всё слышно. Сломанный душ и неприятный запах. Спасибо, Маргарита!",negative
"Квартира была чистая и уютная. Просторная кухня, приятно готовить. Цена полностью оправдана. Очень удобная кровать и свежие полотенца. Спасибо, Карп!",positive
"Просторная кухня, приятно готовить. Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Спасибо, Эмилия!",positive
"Wi-Fi почти не работал. Кровать скрипит и неудобная. Соседи шумели всю ночь. Спасибо, Герасим!",negative
"Отличное расположение, рядом с центром. Есть всё необходимое для комфортного проживания. Спасибо, Анастасия!",positive
"Фото не соответствуют реальности. Кровать скрипит и неудобная. Местоположение оставляет желать лучшего. Соседи шумели всю ночь. Сломанный душ и неприятный запах. Спасибо, Гремислав!",negative
"Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Wi-Fi работал стабильно и быстро. Есть всё необходимое для комфортного проживания. Очень удобная кровать и свежие полотенца. Спасибо, Алевтина!",positive
"Хозяин был очень вежлив и гостеприимен. Просторная кухня, приятно готовить. Тихий район, хорошо выспались. Квартира была чистая и уютная. Спасибо, Арефий!",positive
"Местоположение оставляет желать лучшего. Очень грязно, не убрано перед заселением. Соседи шумели всю ночь. Хозяин не отвечал на звонки. Спасибо, Ярополк!",negative
"Местоположение оставляет желать лучшего. Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Неверно указана цена в объявлении. Плохая звукоизоляция, всё слышно. Спасибо, Мечислав!",negative
"Плохая звукоизоляция, всё слышно. Фото не соответствуют реальности. Хозяин не отвечал на звонки. Кровать скрипит и неудобная. Спасибо, Конон!",negative
"Кровать скрипит и неудобная. Очень грязно, не убрано перед заселением. Спасибо, Алексей!",negative
"Очень грязно, не убрано перед заселением. Wi-Fi почти не работал. Местоположение оставляет желать лучшего. Кровать скрипит и неудобная. Хозяин не отвечал на звонки. Спасибо, Геннадий!",negative
"Соседи шумели всю ночь. Фото не соответствуют реальности. Спасибо, Антонина!",negative
"Соседи шумели всю ночь. Фото не соответствуют реальности. Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Спасибо, Мечислав!",negative
"Очень удобная кровать и свежие полотенца. Есть всё необходимое для комфортного проживания. Wi-Fi работал стабильно и быстро. Спасибо, Никифор!",positive
"Хозяин не отвечал на звонки. Очень грязно, не убрано перед заселением. Фото не соответствуют реальности. Местоположение оставляет желать лучшего. Неверно указана цена в объявлении. Спасибо, Глеб!",negative
"Есть всё необходимое для комфортного проживания. Просторная кухня, приятно готовить. Хозяин был очень вежлив и гостеприимен. Спасибо, Евгения!",positive
"Квартира была чистая и уютная. Хозяин был очень вежлив и гостеприимен. Цена полностью оправдана. Wi-Fi работал стабильно и быстро. Просторная кухня, приятно готовить. Спасибо, Бажен!",positive
"Отличное расположение, рядом с центром. Есть всё необходимое для комфортного проживания. Спасибо, Филарет!",positive
"Wi-Fi почти не работал. Соседи шумели всю ночь. Неверно указана цена в объявлении. Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Спасибо, Нина!",negative
"Обязательно приедем ещё раз. Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Есть всё необходимое для комфортного проживания. Очень удобная кровать и свежие полотенца. Спасибо, Матвей!",positive
"Кровать скрипит и неудобная. Хозяин не отвечал на звонки. Фото не соответствуют реальности. Соседи шумели всю ночь. Местоположение оставляет желать лучшего. Спасибо, Викторин!",negative
"Хозяин не отвечал на звонки. Плохая звукоизоляция, всё слышно. Местоположение оставляет желать лучшего. Фото не соответствуют реальности. Спасибо, Борислав!",negative
"Обязательно приедем ещё раз. Цена полностью оправдана. Квартира была чистая и уютная. Спасибо, Януарий!",positive
"Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Есть всё необходимое для комфортного проживания. Обязательно приедем ещё раз. Спасибо, Александра!",positive
"Очень грязно, не убрано перед заселением. Соседи шумели всю ночь. Плохая звукоизоляция, всё слышно. Хозяин не отвечал на звонки. Спасибо, Ефрем!",negative
"Хозяин был очень вежлив и гостеприимен. Есть всё необходимое для комфортного проживания. Спасибо, Родион!",positive
"Wi-Fi почти не работал. Фото не соответствуют реальности. Плохая звукоизоляция, всё слышно. Спасибо, Алевтина!",negative
"Wi-Fi почти не работал. Местоположение оставляет желать лучшего. Спасибо, Остромир!",negative
"Соседи шумели всю ночь. Неверно указана цена в объявлении. Кровать скрипит и неудобная. Сломанный душ и неприятный запах. Спасибо, Осип!",negative
"Тихий район, хорошо выспались. Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Квартира была чистая и уютная. Есть всё необходимое для комфортного проживания. Спасибо, Лука!",positive
"Фото не соответствуют реальности. Местоположение оставляет желать лучшего. Спасибо, Гурий!",negative
"Местоположение оставляет желать лучшего. Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Фото не соответствуют реальности. Плохая звукоизоляция, всё слышно. Спасибо, Афиноген!",negative
"Фото не соответствуют реальности. Местоположение оставляет желать лучшего. Спасибо, Антонина!",negative
"Кровать скрипит и неудобная. Wi-Fi почти не работал. Фото не соответствуют реальности. Неверно указана цена в объявлении. Спасибо, Дементий!",negative
"Тихий район, хорошо выспались. Просторная кухня, приятно готовить. Обязательно приедем ещё раз. Спасибо, Юлий!",positive
"Сломанный душ и неприятный запах. Соседи шумели всю ночь. Кровать скрипит и неудобная. Спасибо, Моисей!",negative
"Фото не соответствуют реальности. Неверно указана цена в объявлении. Сломанный душ и неприятный запах. Очень грязно, не убрано перед заселением. Кровать скрипит и неудобная. Спасибо, Октябрина!",negative
"Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Спасибо, Исай!",positive
"Кровать скрипит и неудобная. Местоположение оставляет желать лучшего. Спасибо, Панкратий!",negative
"Кровать скрипит и неудобная. Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Сломанный душ и неприятный запах. Спасибо, Вячеслав!",negative
"Есть всё необходимое для комфортного проживания. Обязательно приедем ещё раз. Спасибо, Стоян!",positive
"Фото не соответствуют реальности. Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Плохая звукоизоляция, всё слышно. Спасибо, Мартьян!",negative
"Неверно указана цена в объявлении. Сломанный душ и неприятный запах. Спасибо, Варлаам!",negative
"Просторная кухня, приятно готовить. Отличное расположение, рядом с центром. Спасибо, Ефим!",positive
"Фото не соответствуют реальности. Кровать скрипит и неудобная. Спасибо, Спартак!",negative
"Цена полностью оправдана. Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Квартира была чистая и уютная. Спасибо, Евдокия!",positive
"Кровать скрипит и неудобная. Плохая звукоизоляция, всё слышно. Сломанный душ и неприятный запах. Неверно указана цена в объявлении. Спасибо, Родион!",negative
"Wi-Fi работал стабильно и быстро. Очень удобная кровать и свежие полотенца. Спасибо, Яков!",positive
"Очень удобная кровать и свежие полотенца. Квартира была чистая и уютная. Спасибо, Гостомысл!",positive
"Сломанный душ и неприятный запах. Плохая звукоизоляция, всё слышно. Спасибо, Фирс!",negative
"Хозяин не отвечал на звонки. Сломанный душ и неприятный запах. Неверно указана цена в объявлении. Спасибо, Кондратий!",negative
"Сломанный душ и неприятный запах. Фото не соответствуют реальности. Wi-Fi почти не работал. Кровать скрипит и неудобная. Плохая звукоизоляция, всё слышно. Спасибо, Кира!",negative
"Отличное расположение, рядом с центром. Wi-Fi работал стабильно и быстро. Спасибо, Эрнест!",positive
"Есть всё необходимое для комфортного проживания. Цена полностью оправдана. Спасибо, Серафим!",positive
"Хозяин был очень вежлив и гостеприимен. Квартира была чистая и уютная. Спасибо, Любосмысл!",positive
"Обязательно приедем ещё раз. Есть всё необходимое для комфортного проживания. Отличное расположение, рядом с центром. Квартира была чистая и уютная. Спасибо, Эмилия!",positive
"Очень грязно, не убрано перед заселением. Фото не соответствуют реальности. Хозяин не отвечал на звонки. Wi-Fi почти не работал. Спасибо, Будимир!",negative
